proDelta[0] proIdx[0] proValid[0] proReady[0] proDelta[1] proIdx[1] proValid[1] proReady[1] proDelta[2] proIdx[2] proValid[2] proReady[2] proDelta[3] proIdx[3] proValid[3] proReady[3] proDelta[4] proIdx[4] proValid[4] proReady[4] proDelta[5] proIdx[5] proValid[5] proReady[5] proDelta[6] proIdx[6] proValid[6] proReady[6] proDelta[7] proIdx[7] proValid[7] proReady[7] CUDelta[0] CUIdx[0] CUValid[0] CUReady[0] CUDelta[1] CUIdx[1] CUValid[1] CUReady[1] CUDelta[2] CUIdx[2] CUValid[2] CUReady[2] CUDelta[3] CUIdx[3] CUValid[3] CUReady[3] CUDelta[4] CUIdx[4] CUValid[4] CUReady[4] CUDelta[5] CUIdx[5] CUValid[5] CUReady[5] CUDelta[6] CUIdx[6] CUValid[6] CUReady[6] CUDelta[7] CUIdx[7] CUValid[7] CUReady[7] 
3bc2 66 1 0 3516 a3 1 0 3812 0e 1 0 3568 75 1 1 3ab4 a2 1 0 2b22 95 1 1 391f 09 1 0 36fe 41 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3bc2 66 1 1 3516 a3 1 0 3812 0e 1 0 0000 00 0 0 3ab4 a2 1 0 0000 00 0 0 391f 09 1 0 36fe 41 1 0 0000 00 0 0 0000 00 0 1 2b22 95 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 3568 75 1 1 0000 00 0 1 
0000 00 0 0 3516 a3 1 0 3812 0e 1 0 392d b6 1 0 3ab4 a2 1 0 0000 00 0 0 391f 09 1 1 36fe 41 1 0 0000 00 0 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 3bc2 66 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 
0000 00 0 0 3516 a3 1 0 3812 0e 1 0 392d b6 1 0 3ab4 a2 1 0 0000 00 0 0 2526 e8 1 0 36fe 41 1 1 0000 00 0 1 391f 09 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 
388f 5e 1 0 3516 a3 1 0 3812 0e 1 0 392d b6 1 0 3ab4 a2 1 0 0000 00 0 0 2526 e8 1 1 3bb3 28 1 0 36fe 41 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 
388f 5e 1 1 3516 a3 1 0 3812 0e 1 0 392d b6 1 0 3ab4 a2 1 0 0000 00 0 0 0000 00 0 0 3bb3 28 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 0 2526 e8 1 1 0000 00 0 0 0000 00 0 1 
0000 00 0 0 3516 a3 1 0 3812 0e 1 0 392d b6 1 0 3ab4 a2 1 0 3727 04 1 0 3999 fc 1 0 3bb3 28 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 388f 5e 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3b0c 98 1 0 3516 a3 1 0 3812 0e 1 0 392d b6 1 1 3ab4 a2 1 0 3727 04 1 0 3999 fc 1 1 3bb3 28 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3b0c 98 1 0 3516 a3 1 0 3812 0e 1 0 0000 00 0 0 3ab4 a2 1 0 3727 04 1 0 0000 00 0 0 3bb3 28 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 392d b6 1 1 3999 fc 1 1 
3b0c 98 1 0 3516 a3 1 1 3812 0e 1 0 3651 e4 1 0 3ab4 a2 1 0 3727 04 1 0 3799 46 1 0 3bb3 28 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 
3b0c 98 1 0 0000 00 0 0 3812 0e 1 0 3651 e4 1 0 3ab4 a2 1 0 3727 04 1 1 3799 46 1 0 3bb3 28 1 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 3516 a3 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 
3b0c 98 1 0 0000 00 0 0 3812 0e 1 1 3651 e4 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3bb3 28 1 1 3727 04 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 
3b0c 98 1 1 284e d8 1 0 3523 d2 1 0 3651 e4 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3085 cc 1 0 0000 00 0 0 3812 0e 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 3bb3 28 1 1 0000 00 0 0 0000 00 0 0 
0000 00 0 0 284e d8 1 0 3523 d2 1 1 3651 e4 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3085 cc 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 3b0c 98 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 
0000 00 0 0 284e d8 1 0 3b5b 8a 1 0 3651 e4 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3085 cc 1 0 0000 00 0 0 0000 00 0 0 3523 d2 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 
0000 00 0 0 284e d8 1 0 3b5b 8a 1 0 3651 e4 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3085 cc 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3aeb b5 1 0 284e d8 1 0 3b5b 8a 1 0 3651 e4 1 1 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 0 3085 cc 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3aeb b5 1 1 284e d8 1 0 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 34c6 6f 1 0 3799 46 1 1 3085 cc 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 3651 e4 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3bce 8a 1 0 284e d8 1 0 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 34c6 6f 1 1 21ff a7 1 0 3085 cc 1 0 3799 46 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 3aeb b5 1 1 0000 00 0 1 
3bce 8a 1 0 284e d8 1 1 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 0000 00 0 0 21ff a7 1 0 3085 cc 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 34c6 6f 1 1 0000 00 0 0 0000 00 0 1 
3bce 8a 1 0 0000 00 0 0 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 356c ff 1 0 21ff a7 1 0 0000 00 0 0 0000 00 0 0 3085 cc 1 1 0000 00 0 0 284e d8 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 
3bce 8a 1 0 0000 00 0 0 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 356c ff 1 1 21ff a7 1 0 3b8e be 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 
3bce 8a 1 0 38f9 a8 1 0 3b5b 8a 1 0 3994 83 1 0 3ab4 a2 1 0 0000 00 0 0 21ff a7 1 0 3b8e be 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 356c ff 1 1 
3bce 8a 1 0 38f9 a8 1 0 3b5b 8a 1 0 3994 83 1 1 3ab4 a2 1 0 3aea 1d 1 0 21ff a7 1 0 3b8e be 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 
